city,airport_name,airport_code
Абакан,Абакан,ABA
Алдан,Алдан,ADH
Амдерма,Амдерма,AMV
Анадырь,Угольный,DYR
Анапа,Витязево,AAQ
Апатиты,Апатиты-Кировск,KVK
Архангельск,Васьково, 
Архангельск,Талаги,ARH
Астрахань,Астрахань,ASF
Ачинск,Ачинск,ACS
Багдарин,Багдарин, 
Барнаул,Барнаул,BAX
Белгород,Белгород,EGO
Белорецк,Белорецк,BCX
Бийск,Бийск, 
Билибино,Кепервеем, 
Благовещенск,Игнатьево,BQS
Бор,Подкаменная Тунгуска,TGP
Братск,Братск,BTK
Брянск,Брянск,BZK
Бугульма,Бугульма,UUA
Бугуруслан,Бугуруслан, 
Варандей,Варандей, 
Великие Луки,Великие Луки,VLU
Великий Устюг,Великий Устюг,VUS
Владивосток,Кневичи,VVO
Владикавказ,Беслан,OGZ
Владимир,Семязино, 
Волгоград,Гумрак,VOG
Вологда,Вологда,VGD
Воркута,Воркута,VKT
Воронеж,Придача, 
Воронеж,Чертовицкое,VOZ
Вуктыл,Вуктыл, 
Геленджик,Геленджик,GDZ
Горно-Алтайск,Горно-Алтайск, 
Грозный,Грозный,GRV
Диксон,Диксон,DKS
Екатеринбург,Кольцово,SVX
Екатеринбург,Уктус, 
Енисейск,Енисейск,EIE
Жиганск,Жиганск, 
Иваново,Иваново-Южный,IWA
Игарка,Игарка,IAA
Ижевск,Ижевск,IJK
Инта,Инта,INA
Иркутск,Иркутск,IKT
Йошкар-Ола,Йошкар-Ола,JOK
Казань,Казань,KZN
Калининград,Храброво,KGD
Каратайка,Каратайка, 
Кемерово,Кемерово,KEJ
Киров,Победилово,KVX
Когалым,Когалым,KGP
Комсомольск-на-Амуре,Дземги, 
Комсомольск-на-Амуре,Хурба,KXK
Костомукша,Костомукша, 
Кострома,Сокеркино,KMW
Котлас,Котлас,KSZ
Краснодар,Пашковский,KRR
Краснодар,Энем, 
Краснокаменск,Краснокаменск, 
Красноярск,Емельяново,KJA
Красноярск,Черемшанка, 
Красный Кут,Красный Кут, 
Курган,Курган,KRO
Курильск,Буревестник,BVV
Курск,Восточный,URS
Кызыл,Кызыл,KYZ
Лешуконское,Лешуконское,LDG
Липецк,Липецк,LPK
Магадан,Магадан-13, 
Магадан,Сокол,GDX
Магдагачи,Магдагачи,GDG
Магнитогорск,Магнитогорск,MQF
Махачкала,Уйташ,MCX
Мезень,Мезень, 
Минеральные Воды,Минеральные Воды,MRV
Мирный,Мирный,MJZ
Москва,Быково,BKA
Москва,Внуково,VKO
Москва,Домодедово,DME
Москва,Остафьево, 
Москва,Раменское, 
Москва,Солнцево, 
Москва,Шереметьево,SVO
Мурманск,Мурманск,MMK
Мыс Шмидта,Мыс Шмидта, 
Надым,Надым,NYM
Нальчик,Нальчик,NAL
Нарьян-Мар,Нарьян-Мар,NNM
Нерюнгри,Чульман,CNN
Нижнеангарск,Нижнеангарск, 
Нижневартовск,Нижневартовск,NJC
Нижнекамск,Бегишево,NBC
Нижний Новгород,Стригино,GOJ
Никольское,Никольское, 
Новокузнецк,Спиченково,NOZ
Новосибирск,Ельцовка, 
Новосибирск,Толмачёво,OVB
Новый Уренгой,Новый Уренгой,NUX
Ноглики,Ноглики,NGL
Норильск,Алыкель,NSK
Ноябрьск,Ноябрьск,NOJ
Нягань,Аэропорт Нягань, 
Октябрьский,Октябрьский,OKT
Омск,Омск-Северный, 
Омск,Омск-Центральный,OMS
Онега,Онега, 
Орёл,Орёл-Южный,OEL
Оренбург,Оренбург-Центральный,REN
Орск,Орск,OSW
Оха,Оха,OHH
Охотск,Охотск,OHO
Певек,Певек,PWE
Пенза,Пенза,PEZ
Пермь,Большое Савино,PEE
Петрозаводск,Бесовец,PES
Петрозаводск,Пески, 
Петропавловск-Камчатский,Елизово,PKC
Печора,Печора,PEX
Провидения,Бухта Провидения,PVS
Псков,Псков,PKV
Пушкин,Пушкин, 
Радужный,Радужный,RAT
Ростов-на-Дону,Ростов-на-Дону,ROV
Рыбинск,Староселье,RYB
Рязань,Дягилево,RZN
Рязань,Турлатово,RZN
Салехард,Салехард,SLY
Самара,Курумоч,KUF
Самара,Смышляевка, 
Санкт-Петербург,Пулково,LED
Саранск,Саранск,SKX
Саратов,Саратов-Центральный,RTW
Сибай,Сибай, 
Смоленск,Смоленск-Южный,LNX
Советская Гавань,Май-Гатка,GVN
Соловецкие острова,Соловки,CSH
Сочи,Адлер-Сочи,AER
Ставрополь,Шпаковское,STW
Старый Оскол,Старый Оскол, 
Стерлитамак,Стерлитамак, 
Сургут,Сургут,SGC
Сыктывкар,Сыктывкар,SCW
Таганрог,Таганрог-Южный, 
Тамбов,Донское,TBW
Тверь,Змеёво, 
Тверь,Мигалово, 
Тикси,Тикси,IKS
Тиличики,Тиличики, 
Тобольск,Тобольск,TOX
Тольятти,Тольятти, 
Томск,Богашёво,TOF
Томск,Головино, 
Тура,Горный, 
Тында,Тында,TYD
Тюмень,Плеханово, 
Тюмень,Рощино,TJM
Удачный,Полярный,PYJ
Улан-Удэ,Байкал,UUD
Улан-Удэ,Улан-Удэ-Восточный, 
Ульяновск,Баратаевка,ULY
Ульяновск,Ульяновск-Восточный, 
Усть-Кут,Усть-Кут,UKX
Усть-Нера,Усть-Нера, 
Усинск,Усинск,USK
Уфа,Уфа,UFA
Ухта,Ухта,UCT
Хабаровск,Хабаровск, 
Хабаровск,Хабаровск-Новый,KHV
Хандыга,Тёплый Ключ, 
Ханты-Мансийск,Ханты-Мансийск,HMA
Харута,Харута, 
Хатанга,Хатанга,HTG
Цимлянск,Волгодонск,VLK
Чара,Чара, 
Чебоксары,Чебоксары,CSY
Челябинск,Челябинск,CEK
Череповец,Череповец,CEE
Черский,Черский,CYX
Чита,Кадала,HTA
Чокурдах,Чокурдах,CKH
Шахтерск,Шахтерск,EKS
Щёлково,Чкаловский,CKL
Элиста,Элиста,ESL
Южно-Курильск,Менделеево,DEE
Южно-Сахалинск,Хомутово,UUS
Якутск,Якутск,YKS
Ямбург,Ямбург, 
Ярославль,Левцово, 
Ярославль,Туношна,IAR
